"Id";"Designator";"Behuizing";"Hoeveelheid";"Orientatie";"Leverancier en ref";
1;"D7,D5,D6";"LED-5MM";3;"LED";;;
2;"U1";"Pin_Header_Angled_1x04";1;"DHT11";;;
3;"J1";"Samtec_HLE-120-02-XXX-DV-BE-XX-XX";1;"RPi_GPIO";;;
4;",,,";"RPi_Hat_Mounting_Hole";4;"";;;
5;"R1,R3,R5,R6,R8,R10,R11";"Resistor_Horizontal_RM15mm";7;"470";;;
6;"R2,R7";"Resistor_Horizontal_RM15mm";2;"10K";;;
7;"R4,R9";"Resistor_Horizontal_RM15mm";2;"1K";;;
8;"SW1,SW2";"SW_PUSH_6mm_h9.5mm";2;"SW_Push";;;
9;"D1,D2,D3,D4";"LED_D5.0mm";4;"LED";;;
10;"U2";"DIP-16_W7.62mm_LongPads";1;"PCF8591";;;
11;"BH1";"Pin_Header_Angled_1x05";1;"BH1750";;;
12;"A0,I2C-1";"JST_PH_B4B-PH-K_04x2.00mm_Straight";2;"GROVE-CONNECTOR-DIP_4P-2.0_";;;
13;"C1,C2";"C_Rect_L4_W2.5_P2.5";2;"C";;;
